,Unnamed: 0,statement_id,statement,creator,validity,True_fleshes,True_smog_index,True_flesch_kincaid_grade,True_coleman_liau_index,True_automated_readability_index,True_dale_chall_readability_score,True_difficult_words,True_linsear_write_formula,True_difficult_words.1,True_gunning_fog,True_text_standard,characters,words,avg_word_length,numbers,sentences,unique_word_ratio,sentiment_index,hatred_index,support,opposed,neutral,Label,pred_label
0,41,5,"It seems that the [infectious agent] traveled by [mode of transportation] on [type of roads]; and that Â“soloÂ” [mode of transportation], i.e. traveling by [type of vehicle], that now seems to be perceived by the public as a [solution], was probably one of the means which favored the initial spread.",bard,False,63.02,0.0,10.7,9.46,14.5,10.25,11,16.0,11,14.8,14th and 15th grade,300,51,4.49,0,4,0.71,0.0205,0.0325,0.155921146,0.053321861,0.790757,0,1
1,48,19,"Individuals with a previous natural infection did not produce as many antibodies after the two doses of vaccine as individuals who had not been infected. Among the individuals with no history of past SARS-CoV-2 infection, 5% had an antibody level at the same order of magnitude of infected people, suggesting that they acquired the infection in an asymptomatic way. In such individuals, one dose of vaccine may not be sufficient to obtain a protective immune response.",bard,False,28.88,17.5,15.5,12.31,15.6,9.88,19,19.0,19,16.44,15th and 16th grade,468,75,5.13,1,3,0.73,0.0179,0.0438,0.004741267,0.992184937,0.003073853,0,1
2,4,37,"""The initial phase of the COVID-19 pandemic resulted in a 17% decrease in the volume of brain MRI scans in the United States, which led to a decrease in the early detection and treatment of brain tumors",bard,False,50.84,0.0,15.4,8.72,18.2,11.45,8,21.5,8,18.04,-1th and 0th grade,202,36,4.47,1,1,0.69,0.0093,0.022,0.010709826,0.983582139,0.005708035,0,1
3,152,71,Early experience with COVID-19 patients suggests that gastrointestinal symptoms are common and associated with greater severity of illness.,human,True,19.37,0.0,15.0,21.11,19.5,15.06,9,13.0,9,16.09,14th and 15th grade,139,18,6.72,0,1,0.94,0.019,0.017,0.984045863,0.00713312,0.008820993,1,1
4,84,3,"We found that age, symptom onset between 3 and 14 days, fever or history of fever, cough, sore throat, ageusia (loss of taste), anosmia (loss of smell), chest pain, myalgia (muscle aches and pains) and/or arthralgia (join pain), household cluster, and evidence of confirmed cases in the neighbourhood could help discriminate infected patients from uninfected.",human,True,24.11,0.0,23.6,13.65,32.2,12.68,17,33.5,17,25.64,12th and 13th grade,359,54,5.22,2,1,0.81,0.0441,0.0481,0.986023068,0.001984976,0.01199201,1,1
5,115,34,"The COVID-19 epidemic could be controlled by alternating one or two weeks of complete lockdown with one or two months of freedom, respectively. Control strategies of this kind, where the lockdownÂ’s duration is well circumscribed, could be important also to alleviate coronavirus impact on economy.",human,True,40.18,0.0,13.2,14.74,16.3,11.42,14,15.75,14,16.11,15th and 16th grade,298,46,5.39,0,2,0.85,0.1093,0.0428,0.924985051,0.014407945,0.060607105,1,1
6,82,1,"We evaluated 298 persons and identified twelve positive cases. 75% of the positive cases were asymptomatic, while only 25% of positive cases reported symptoms that included fever, diarrhea, and cough. Our data confirm the importance of early identification of asymptomatic carriers.",human,True,32.19,15.0,12.2,15.25,13.2,11.25,15,11.16666667,15,15.24,11th and 12th grade,282,38,5.97,3,3,0.74,0.365,0.0181,0.994333982,0.002314164,0.003351922,1,1
7,35,17,"The evaluation results showed high diagnosis accuracies, ranging from 89 to 99 percent. The proposed methods for early detection and classification of COVID-19 through image processing using X-ray images were proven to be usable since they provided end-to-end structures without the need for manual feature extraction and manual selection methods.",bard,False,29.18,0.0,15.4,16.77,19.1,13.72,21,18.0,21,18.0,17th and 18th grade,347,48,6.06,2,2,0.88,0.5858,0.0212,0.990638852,0.003545454,0.005815754,0,1
8,169,1,"we rated 298 people and identified twelve positive cases. 75% of positive cases were asymptomatic, while only 25% of positive cases reported symptoms containing fever, diarrhea and cough. our knowledge confirms the importance of early identification of asymptomatic carriers.",augmented,True,32.9,14.6,11.9,16.05,13.7,11.16,14,10.5,14,14.43,11th and 12th grade,275,36,6.19,3,3,0.75,0.4261,0.0208,0.994092762,0.002224058,0.003683149,1,1
9,69,12,"A significant number of people who are infected with the virus do not show any clinical symptoms; current estimates suggest that approximately 1 in 3 individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. These individuals may carry the virus and potentially spread it to others, who may experience severe COVID-19 disease.",bard,False,27.66,0.0,16.0,14.22,17.8,12.1,16,18.75,16,18.15,17th and 18th grade,344,51,5.61,2,3,0.84,0.0107,0.067,0.991494775,0.003252366,0.005252854,0,1
10,51,16,"When controlling for age, severity of illness, and [co-morbidities], [treatment] was not associated with fewer deaths in this study.",bard,False,43.73,0.0,11.9,14.79,16.3,12.06,7,13.5,7,16.02,11th and 12th grade,132,19,5.58,0,1,1.0,0.0236,0.0137,0.69699353,0.056923445,0.246083051,0,1
11,123,42,"Close, frequent contact with patients and those exposed to patients with cough symptoms are associated with an increased risk of infection.",human,True,50.16,0.0,11.5,15.03,15.8,11.45,8,12.5,8,12.21,11th and 12th grade,139,21,5.57,0,1,0.86,0.0234,0.0204,0.993491232,0.003425035,0.003083653,1,1
12,83,2,"Over the 14-day study period, six patients survived, two were extubated, and one discharged. The results implicate white blood cells as a therapeutic target for COVID-19.",human,True,58.28,0.0,8.4,12.63,11.4,12.18,9,7.5,9,11.35,7th and 8th grade,170,26,5.27,1,2,1.0,0.209,0.0167,0.456876159,0.004949316,0.53817451,1,1
13,117,36,"Oxygen saturation in central venous blood, oxygen consumption and oxygen extraction are good predictors of mortality in critically ill patients with COVID-19.",human,True,15.31,0.0,16.6,18.04,18.9,13.34,10,17.0,10,19.71,16th and 17th grade,158,22,6.14,0,1,0.91,0.0299,0.0224,0.967184961,0.015250013,0.017565025,1,1
14,22,11,"People who are immunocompromised or seniors reported similar local and systemic reactions after a third Pfizer vaccine to those observed following previous vaccines. These reactions mostly resolved on their own. Fatigue, muscle pain, and fever were the most common systemic side effects reported (19.6%, 9.2%, and 8.1% respectively). In addition, these reactions were generally mild and did not require any medical intervention.",bard,False,41.97,12.7,10.5,14.6,12.7,11.89,23,8.0,23,11.41,10th and 11th grade,428,59,5.81,3,4,0.86,0.058,0.0221,0.002876509,0.995577335,0.001546132,0,1
15,122,41,"While Test A failed to detect SARS-CoV-2 antibodies in 37Â–84% of non-hospitalised patients, Test B detected antibodies in 79%. Test C detected antibodies in 95% of non-hospitalised patients. Antibody levels were initially low, increased over time, and increased as the disease got worse.",human,True,48.5,13.0,10.0,13.27,12.6,12.06,10,10.16666667,10,10.37,12th and 13th grade,288,40,5.67,4,3,0.72,0.0168,0.0302,0.994751155,0.002034464,0.0032144,1,1
16,155,74,Intravenous recombinant ACE2 was reported as an effective therapy in severe COVID-19 by blocking the viral entry to target cells.,human,True,34.26,0.0,13.5,14.04,14.5,15.68,10,15.0,10,18.0,14th and 15th grade,129,20,5.45,0,1,1.0,0.266,0.0352,0.993843436,0.003082967,0.003073573,1,1
17,73,15,"We found that the number of cases of SARS-CoV-2 infection doubled every 1.56 days in barracks-style buildings, which is significantly faster than the doubling time of 2.65 days for apartment-style buildings. This suggests that barracks-style buildings are more conducive to the spread of COVID-19, likely due to the close quarters and shared facilities in these types of buildings.",bard,False,73.68,8.1,6.6,13.33,12.1,10.89,11,7.0,11,7.87,6th and 7th grade,381,56,5.57,2,2,0.73,0.0515,0.0441,0.007598612,0.986743569,0.005657879,0,1
18,66,27,"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 30% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. These individuals carry the virus and potentially spread it to others, who may react with severe COVID-19 disease. It is important to note that even asymptomatic individuals can still spread the virus, so it is important to take precautions to protect yourself and others, such as wearing a mask, social distancing, and washing your hands frequently.",bard,False,42.04,15.9,14.6,13.59,18.4,10.16,20,19.5,20,16.2,15th and 16th grade,553,86,5.29,1,4,0.74,0.0218,0.0973,0.82101053,0.098934218,0.080055214,0,1
19,32,10,"The evaluation results show high diagnosis accuracy, from 89% to 99%. The proposed method for early detection and classification of COVID-19 through image processing using X-ray images is proven to be usable since it provides an end-to-end structure without the need for manual feature extraction and manual selection methods. This makes the method more efficient and less time-consuming, which is important in the early detection and treatment of COVID-19.",bard,False,39.67,15.5,13.4,14.63,16.6,11.64,22,16.16666667,22,15.58,15th and 16th grade,457,67,5.64,2,3,0.78,0.8059,0.0122,0.955224872,0.00592291,0.038852174,0,1
20,213,12,a significant number of infected health care workers were asymptomatic 28.9% and 35.5% to the hospital. the average length of hospital care was 8.1 days. 70.1% of the confirmed cases had been vaccinated against seasonal influenza.,augmented,True,55.71,10.8,7.3,9.87,7.7,11.89,10,4.4,10,10.66,10th and 11th grade,230,32,5.44,4,3,0.81,0.0317,0.0371,0.993439972,0.003468073,0.003092055,1,1
21,131,50,"Over the 14-day study period, six patients survived, two were extubated, and one discharged. The results implicate white blood cells as a therapeutic target for COVID-19.",human,True,58.28,0.0,8.4,12.63,11.4,12.18,9,7.5,9,11.35,7th and 8th grade,170,26,5.27,1,2,1.0,0.209,0.0167,0.456876159,0.004949316,0.53817451,1,1
